"label","value","chain","chainValue","parentLabel","parentValue","gasUSD","gasUSDPctChange","transactions","transactionsPctChange","activeAddresses","activeAddressesPctChange"
"0xd9a9d1960d62cb33cb5e0ec75a72ed3d70f65d53","0xd9a9d1960d62cb33cb5e0ec75a72ed3d70f65d53","Ethereum","ethereum","","","5.3408747132799315","","5","","1",""
"0xb4838b6801cca60a0f94049562884206f6ba3e6c","0xb4838b6801cca60a0f94049562884206f6ba3e6c","Ethereum","ethereum","","","5.340809509523654","","4","","1",""
"0x8bbcb0ee3bd87873d3a3bb272ebe9018a71ffa61","0x8bbcb0ee3bd87873d3a3bb272ebe9018a71ffa61","Ethereum","ethereum","","","5.340686945276699","","2","","1",""
"0x8baa184922fc78134558593f4af69de5229dd371","0x8baa184922fc78134558593f4af69de5229dd371","Ethereum","ethereum","","","5.340331595451225","961.6033720213444","6","500.000000","1","0.000000"
"0x1a86b32bdcb2ac55e1c424ee8bb8363c9d77ec74","0x1a86b32bdcb2ac55e1c424ee8bb8363c9d77ec74","Ethereum","ethereum","","","5.34019566525948","569.2347826206235","6","100.000000","1","0.000000"
"0xc155af6e79c254432cd2856054006c69aa61bb5d","0xc155af6e79c254432cd2856054006c69aa61bb5d","Ethereum","ethereum","","","5.339713343331946","","3","","1",""
"0xedd9a74037049e5a09982b541ab7957888a2547e","0xedd9a74037049e5a09982b541ab7957888a2547e","Ethereum","ethereum","","","5.3396398993345295","","4","","3",""
"0xb353521e08cb6f244ea51fbd73fb2fc4a70bc1c2","0xb353521e08cb6f244ea51fbd73fb2fc4a70bc1c2","Ethereum","ethereum","","","5.339200131593518","","2","","2",""
"0xbd5b35f660931a6ad4e3f143bbada147a3a5efd3","0xbd5b35f660931a6ad4e3f143bbada147a3a5efd3","Ethereum","ethereum","","","5.338597113988535","","4","","1",""
"0x4726985a75e5e2ab59a0e98fdf00808c1c2c2f31","0x4726985a75e5e2ab59a0e98fdf00808c1c2c2f31","Ethereum","ethereum","","","5.338217148028593","355.32296397445066","5","66.666667","3","0.000000"
"0x39eec110481e83abd4d3096e6b69164bfef65bcf","0x39eec110481e83abd4d3096e6b69164bfef65bcf","Ethereum","ethereum","","","5.338000324428925","","4","","1",""
"0x00ac38ee03394aed3c239042c982c0dc45981d66","0x00ac38ee03394aed3c239042c982c0dc45981d66","Ethereum","ethereum","","","5.337323135088679","","4","","3",""
"0x1a783d9d55b5da03a2c4b9da9dc68d3580a34ff2","0x1a783d9d55b5da03a2c4b9da9dc68d3580a34ff2","BNB Chain","bsc","","","5.3370870765889045","102.22851868706128","151","81.927711","2","100.000000"
"0x46e7c367fda88090eace67b3796245e9f386f5c1","0x46e7c367fda88090eace67b3796245e9f386f5c1","Ethereum","ethereum","","","5.336880604685691","","2","","2",""
"0x248a09466c3469b58f524b343e1b30625a28356c","0x248a09466c3469b58f524b343e1b30625a28356c","Ethereum","ethereum","","","5.3363560021603496","","3","","1",""
"0xf610f63f2c9add1e7dd2711500d321f89cffe5e3","0xf610f63f2c9add1e7dd2711500d321f89cffe5e3","Ethereum","ethereum","","","5.336289426242995","262.3369015773134","5","25.000000","2","0.000000"
"0xd20fe2d9007d28f2f0a65524a0e7d9f94a8e1bcb","0xd20fe2d9007d28f2f0a65524a0e7d9f94a8e1bcb","Ethereum","ethereum","","","5.336169431785469","1589.4989108138918","4","300.000000","2","100.000000"
"0xd47829e4a79572cb850337d46678106f60853a69","0xd47829e4a79572cb850337d46678106f60853a69","Ethereum","ethereum","","","5.335953733022195","345.21591223249504","5","66.666667","1","0.000000"
"0xb202e2e26383bf5861cfeadfc6325e93aabfb72d","0xb202e2e26383bf5861cfeadfc6325e93aabfb72d","Ethereum","ethereum","","","5.3355439848855495","","5","","1",""
"0x2b4a91cab114de094baea6f283c992bc138745e3","0x2b4a91cab114de094baea6f283c992bc138745e3","Ethereum","ethereum","","","5.333976547255801","","4","","2",""
